"","Date","WL","Cond","NO3","NH4","Flow","NO3E","NH4E","water","NO3C","NH4C","waterin","waterin2","watercm2"
"16591",2017-01-02 21:45:00,1.57,"OFF",0.03,0.645486965,0,0,0,0,0,0,0,0,0
"16592",2017-01-02 22:00:00,1.569,"OFF",0.03,0.650986172,0,0,0,0,0,0,0,0,0
"16593",2017-01-02 22:15:00,1.57,"OFF",0.03,0.6440061845,0,0,0,0,0,0,0,0,0
"16594",2017-01-02 22:30:00,1.569,"OFF",0.03,0.637026197,0,0,0,0,0,0,0,0,0
"16595",2017-01-02 22:45:00,1.57,"OFF",0.03,0.6399400135,0,0,0,0,0,0,0,0,0
"16596",2017-01-02 23:00:00,1.57,"OFF",0.03,0.64285383,0,0,0,0,0,0,0,0,0
"16597",2017-01-02 23:15:00,1.571,"OFF",0.03,0.6456271275,0,0,0,0,0,0,0,0,0
"16598",2017-01-02 23:30:00,1.571,"OFF",0.03,0.648400425,0,0,0,0,0,0,0,0,0
"16599",2017-01-02 23:45:00,1.571,"OFF",0.03,0.648416435,0,0,0,0,0,0,0,0,0
"16600",2017-01-03,1.569,"OFF",0.03,0.648432445,0,0,0,0,0,0,0,0,0
"16601",2017-01-03 00:15:00,1.573,"OFF",0.03,0.648348272,0,0,0,0,0,0,0,0,0
"16602",2017-01-03 00:30:00,1.572,"OFF",0.03,0.648264099,0,0,0,0,0,0,0,0,0
"16603",2017-01-03 00:45:00,1.571,"OFF",0.03,0.6521602355,0,0,0,0,0,0,0,0,0
"16604",2017-01-03 01:00:00,1.572,"OFF",0.03,0.656056372,0,0,0,0,0,0,0,0,0
"16605",2017-01-03 01:15:00,1.572,"OFF",0.03,0.658968968,0,0,0,0,0,0,0,0,0
"16606",2017-01-03 01:30:00,1.571,"OFF",0.03,0.661881564,0,0,0,0,0,0,0,0,0
"16607",2017-01-03 01:45:00,1.57,"OFF",0.03,0.6620875435,0,0,0,0,0,0,0,0,0
"16608",2017-01-03 02:00:00,1.571,"OFF",0.03,0.662293523,0,0,0,0,0,0,0,0,0
"16609",2017-01-03 02:15:00,1.573,"OFF",0.03,0.6619196485,0,0,0,0,0,0,0,0,0
"16610",2017-01-03 02:30:00,1.571,"OFF",0.03,0.661545774,0,0,0,0,0,0,0,0,0
"16611",2017-01-03 02:45:00,1.571,"OFF",0.03,0.6601970265,0,0,0,0,0,0,0,0,0
"16612",2017-01-03 03:00:00,1.572,"OFF",0.03,0.658848279,0,0,0,0,0,0,0,0,0
"16613",2017-01-03 03:15:00,1.571,"OFF",0.03,0.659324742,0,0,0,0,0,0,0,0,0
"16614",2017-01-03 03:30:00,1.574,"OFF",0.03,0.659801205,0,0,0,0,0,0,0,0,0
"16615",2017-01-03 03:45:00,1.572,"OFF",0.03,0.660081886,0,0,0,0,0,0,0,0,0
"16616",2017-01-03 04:00:00,1.573,"OFF",0.03,0.660362567,0,0,0,0,0,0,0,0,0
"16617",2017-01-03 04:15:00,1.573,"OFF",0.03,0.6578805875,0,0,0,0,0,0,0,0,0
"16618",2017-01-03 04:30:00,1.572,"OFF",0.03,0.655398608,0,0,0,0,0,0,0,0,0
"16619",2017-01-03 04:45:00,1.573,"OFF",0.03,0.6552702325,0,0,0,0,0,0,0,0,0
"16620",2017-01-03 05:00:00,1.573,"OFF",0.03,0.655141857,0,0,0,0,0,0,0,0,0
"16621",2017-01-03 05:15:00,1.571,"OFF",0.03,0.6589866075,0,0,0,0,0,0,0,0,0
"16622",2017-01-03 05:30:00,1.573,"OFF",0.03,0.662831358,0,0,0,0,0,0,0,0,0
"16623",2017-01-03 05:45:00,1.574,"OFF",0.03,0.660062318,0,0,0,0,0,0,0,0,0
"16624",2017-01-03 06:00:00,1.572,"OFF",0.03,0.657293278,0,0,0,0,0,0,0,0,0
"16625",2017-01-03 06:15:00,1.572,"OFF",0.03,0.657523281,0,0,0,0,0,0,0,0,0
"16626",2017-01-03 06:30:00,1.572,"OFF",0.03,0.657753284,0,0,0,0,0,0,0,0,0
"16627",2017-01-03 06:45:00,1.573,"OFF",0.03,0.656772438,0,0,0,0,0,0,0,0,0
"16628",2017-01-03 07:00:00,1.573,"OFF",0.03,0.655791592,0,0,0,0,0,0,0,0,0
"16629",2017-01-03 07:15:00,1.574,"OFF",0.03,0.656789543,0,0,0,0,0,0,0,0,0
"16630",2017-01-03 07:30:00,1.574,"OFF",0.03,0.657787494,0,0,0,0,0,0,0,0,0
"16631",2017-01-03 07:45:00,1.573,"OFF",0.03,0.6554264955,0,0,0,0,0,0,0,0,0
"16632",2017-01-03 08:00:00,1.573,"OFF",0.03,0.653065497,0,0,0,0,0,0,0,0,0
"16633",2017-01-03 08:15:00,1.574,"OFF",0.03,0.6615038865,0,0,0,0,0,0,0,0,0
"16634",2017-01-03 08:30:00,1.576,"OFF",0.03,0.669942276,0,0,0,0,0,0,0,0,0
"16635",2017-01-03 08:45:00,1.576,"OFF",0.03,0.678985896,0,0,0,0,0,0,0,0,0
"16636",2017-01-03 09:00:00,1.577,"OFF",0.03,0.688029516,0,0,0,0,0,0,0,0,0
"16637",2017-01-03 09:15:00,1.581,"OFF",0.03,0.6877876875,0,0,0,0,0,0,0,0,0
"16638",2017-01-03 09:30:00,1.574,"OFF",0.03,0.687545859,0,0,0,0,0,0,0,0,0
"16639",2017-01-03 09:45:00,1.574,"OFF",0.03,0.6835040645,0,0,0,0,0,0,0,0,0
"16640",2017-01-03 10:00:00,1.574,"OFF",0.03,0.67946227,0,0,0,0,0,0,0,0,0
"16641",2017-01-03 10:15:00,1.569,"OFF",0.03,0.6780205185,0,0,0,0,0,0,0,0,0
"16642",2017-01-03 10:30:00,1.574,"OFF",0.03,0.676578767,0,0,0,0,0,0,0,0,0
"16643",2017-01-03 10:45:00,1.571,"OFF",0.03,0.674834629,0,0,0,0,0,0,0,0,0
"16644",2017-01-03 11:00:00,1.573,"OFF",0.03,0.673090491,0,0,0,0,0,0,0,0,0
"16645",2017-01-03 11:15:00,1.571,"OFF",0.03,0.6723662665,0,0,0,0,0,0,0,0,0
"16646",2017-01-03 11:30:00,1.572,"OFF",0.03,0.671642042,0,0,0,0,0,0,0,0,0
"16647",2017-01-03 11:45:00,1.574,"OFF",0.03,0.643136887,0,0,0,0,0,0,0,0,0
